2d:18:26 | Darwin kernel loaded
1d:6:04 | Loaded system file: /boot/drivers/mouse.sys
1d:6:05 | Loaded system file: /lib/libstdlua.2.so
1d:6:05 | Loaded system file: /lib/libuser.2.so
1d:6:06 | Loaded system file: /lib/libgui_txui.1.so
1d:6:06 | Darwin kernel loaded
1d:15:03 | Loaded system file: /boot/drivers/mouse.sys
1d:15:04 | Loaded system file: /lib/libstdlua.2.so
1d:15:04 | Loaded system file: /lib/libuser.2.so
1d:15:04 | Loaded system file: /lib/libgui_txui.1.so
1d:15:04 | Darwin kernel loaded
4d:2:34 | Loaded system file: /boot/drivers/mouse.sys
4d:2:34 | Loaded system file: /lib/libstdlua.2.so
4d:2:34 | Loaded system file: /lib/libuser.2.so
4d:2:35 | Loaded system file: /lib/libgui_txui.1.so
4d:2:35 | Darwin kernel loaded
8d:19:10 | Downloaded contents of https://pastebin.com/raw/sULc26Yp
8d:19:24 | Downloaded contents of https://pastebin.com/raw/sULc26Yp
10d:6:37 | Loaded system file: /boot/drivers/mouse.sys
10d:6:37 | Loaded system file: /lib/libstdlua.2.so
10d:6:38 | Loaded system file: /lib/libuser.2.so
10d:6:38 | Loaded system file: /lib/libgui_txui.1.so
10d:6:38 | Darwin kernel loaded
1d:6:28 | FAILED TO LOAD KERNEL-MODE ASSEMBLY: /boot/ext/mouse.kext
1d:6:28 | KSTOP CALLED! 0x00000002 KERNEL_ASSEMBLY_NOT_ACCESSIBLE /boot/ext/mouse.kext nil nil nil
1d:20:37 | Loaded system file: /boot/ext/mouse.kext
1d:20:38 | Loaded system file: /lib/libstdlua.2.so
1d:20:38 | Loaded system file: /lib/libuser.2.so
1d:20:38 | Loaded system file: /lib/libgui_txui.1.so
1d:20:38 | Darwin kernel loaded
5d:11:06 | Loaded system file: /boot/ext/mouse.kext
5d:11:07 | Loaded system file: /lib/libstdlua.2.so
5d:11:07 | Loaded system file: /lib/libuser.2.so
5d:11:07 | Loaded system file: /lib/libgui_txui.1.so
5d:11:07 | Darwin kernel loaded
1d:6:20 | Loaded system file: /boot/ext/mouse.kext
1d:6:21 | Loaded system file: /lib/libstdlua.2.so
1d:6:21 | Loaded system file: /lib/libuser.2.so
1d:6:22 | Loaded system file: /lib/libgui_txui.1.so
1d:6:22 | Darwin kernel loaded
2d:13:40 | Downloaded contents of https://pastebin.com/raw/wcPNMw0Y
1d:16:18 | Loaded system file: /boot/ext/mouse.kext
1d:16:19 | Loaded system file: /lib/libstdlua.2.so
1d:16:19 | Loaded system file: /lib/libuser.2.so
1d:16:19 | Loaded system file: /lib/libgui_txui.1.so
1d:16:19 | Darwin kernel loaded
1d:6:52 | Loaded system file: /boot/ext/mouse.kext
1d:6:52 | Loaded system file: /lib/libstdlua.2.so
1d:6:53 | Loaded system file: /lib/libuser.2.so
1d:6:53 | Loaded system file: /lib/libgui_txui.1.so
1d:6:53 | Darwin kernel loaded
3d:6:26 | Loaded system file: /boot/ext/mouse.kext
3d:6:27 | Loaded system file: /lib/libstdlua.2.so
3d:6:27 | Loaded system file: /lib/libuser.2.so
3d:6:27 | Loaded system file: /lib/libgui_txui.1.so
3d:6:27 | Darwin kernel loaded
